Month,Date,Incident
Jan-2024,January - 3,"A gun battle started between militants and Security Forces (SFs) in Hadigam area of Kulgam District of Jammu and Kashmir in the evening of January 3, reports Daily Excelsior. A police official said that a joint team of police and Army launched a cord
Read more... A gun battle started between militants and Security Forces (SFs) in Hadigam area of Kulgam District of Jammu and Kashmir in the evening of January 3, reports Daily Excelsior. A police official said that a joint team of police and Army launched a cordon and search operation in Hadigam. As the SFs approached towards the suspected spot, the hiding militants fired upon them, triggering off a gunfight. The encounter was going on at the time of reporting.
Read less..."
Jan-2024,January - 3,"On January 3, militants managed to give slip to Security Forces (SFs) after a brief exchange of fire in Hadigam area of Kulgam District of Jammu and Kashmir, reports Daily Excelsior. A police official said that after a brief exchange of fire on Janu
Read more... On January 3, militants managed to give slip to Security Forces (SFs) after a brief exchange of fire in Hadigam area of Kulgam District of Jammu and Kashmir, reports Daily Excelsior. A police official said that after a brief exchange of fire on January 3, there was a complete lull. “Due to darkness, the operation was suspended throughout the night [January 3]. The search operation was resumed at the first light [January 4]. During searches, no militant was found at the encounter site,” the official said. SATP had earlier reported that an encounter has started on January 3.
Read less..."
Jan-2024,January - 3,"On January 3, two Babbar Khalsa International (BKI) operatives, identified as Karan Gujjarpuria and Vishaldeep Singh were arrested by Mohali CIA team from Amritsar District of Punjab, reports Hindustan Times. Subsequently, three weapons and eight liv
Read more... On January 3, two Babbar Khalsa International (BKI) operatives, identified as Karan Gujjarpuria and Vishaldeep Singh were arrested by Mohali CIA team from Amritsar District of Punjab, reports Hindustan Times. Subsequently, three weapons and eight live cartridges from their possession.
Read less..."
Jan-2024,January - 3,"The Chief Minister of Manipur, N. Biren Singh, issued a stern warning, stating that those perpetrating such acts would be held accountable if the Armed Forces (Special Powers) Act (AFSPA) is reinstated, reports India Today NE on January 3. He express
Read more... The Chief Minister of Manipur, N. Biren Singh, issued a stern warning, stating that those perpetrating such acts would be held accountable if the Armed Forces (Special Powers) Act (AFSPA) is reinstated, reports India Today NE on January 3. He expressed deep distress over the recent violent incidents, particularly the firing in the Lilong Chingjao area of Thoubal District in Manipur, which resulted in four villagers being killed by cadres of the Revolutionary People's Front (RPF), the political wing of the banned People's Liberation Army (PLA).
Read less..."
Jan-2024,January - 3,"The Hynniewtrep National Liberation Council (HNLC) has decided to withdraw from peace talks with the Central government, citing a complete lack of attention to their demands, reports India Today NE on January 3. Continuing their demands, the HNLC cal
Read more... The Hynniewtrep National Liberation Council (HNLC) has decided to withdraw from peace talks with the Central government, citing a complete lack of attention to their demands, reports India Today NE on January 3. Continuing their demands, the HNLC called for the lifting of the ban on the organization. They also demanded the withdrawal of all pending cases against HNLC leaders and cadres in both lower and higher courts throughout the state, with a specific focus on cases in Khasi Hills and Jaintia Hills.
Read less..."
Jan-2024,January - 3,"Use of drones to smuggle arms and narcotics from across the border into Indian territory will be over in the next six months as an indigenous anti-drone technology is being developed to check all such misadventures by the anti-national elements, a se
Read more... Use of drones to smuggle arms and narcotics from across the border into Indian territory will be over in the next six months as an indigenous anti-drone technology is being developed to check all such misadventures by the anti-national elements, a senior government functionary said, Daily Excelsior reports on January 3. Security agencies are working on as many as three designs of the anti-drone technology and the final outcome could be three or a combination of all three. “The menace of smuggling in arms and narcotics from across the border through the use of drones will be over in the next six months. Definitely the anti-drone technology will be placed by then,” the functionary said. Trials on the new technology are going on and it is in advance stage of finalisation. Dropping of arms, ammunition and narcotics from Pakistan by using the drones or unmanned aerial vehicles (UAVs) in Punjab and Jammu and Kashmir has been a major problem for security agencies for several years now.
Read less..."
Jan-2024,January - 4,"An operative of a terrorist module of the banned pro-Khalistan group Babbar Khalsa International (BKI) suffered a bullet injury in his leg inside the Bal Gopal Gaushala in Balongi in Sahibzada Ajit Singh Nagar District in Punjab amid a joint operatio
Read more... An operative of a terrorist module of the banned pro-Khalistan group Babbar Khalsa International (BKI) suffered a bullet injury in his leg inside the Bal Gopal Gaushala in Balongi in Sahibzada Ajit Singh Nagar District in Punjab amid a joint operation conducted by the Mohali Crime Investigation Agency (CIA) and the Batala police in the evening of January 4, reports Hindustan Times. The accused, identified as Sharanpreet Singh alias Sunny, a close associate of Pakistan’s Inter-Services Intelligence (ISI)-backed terrorist Harvinder Rinda and United States (US)-based gangster Harpreet alias Happy Pasia, was arrested. Additionally, police recovered a pistol and two live cartridges from Sunny. Earlier, SATP reported that the Mohali CIA team had arrested two BKI operatives on January 3. As Sunny was wanted by Batala police, Mohali CIA and Batala police jointly interrogated his two accomplices named Karan Gujjarpuria and Vishaldeep Singh. During interrogation, it was revealed that Sunny used to work with Gujjarpuria and was hiding in Balongi following which patrolling teams launched a search and spotted him in Balongi around 5 pm. When chased, he ran into the gaushala and exchanged fire with the police. He was nabbed after being shot in the leg,” Sandeep Kumar Garg, Senior Superintendent of Police (SSP), Mohali, said.
Read less..."
Jan-2024,January - 4,"On January 4, Director General of Police (DGP), Punjab, Gaurav Yadav said that Police have busted a cross-border drug and arms smuggling racket being operated by Pakistan-based smugglers with the arrest of one suspect, identified as Simranjit Singh a
Read more... On January 4, Director General of Police (DGP), Punjab, Gaurav Yadav said that Police have busted a cross-border drug and arms smuggling racket being operated by Pakistan-based smugglers with the arrest of one suspect, identified as Simranjit Singh alias Simar Maan, after recovering two kilograms of Ice Drug (Methamphetamine), reports Punjab News Express. Apart from seizing a consignment of Ice Drugs, Police teams also recovered one .30-bore Chinese Pistol along with five live cartridges from his possession. DGP Gaurav Yadav said that preliminary investigations have revealed that the arrested accused was directly in touch with Pakistan-based smugglers Pathan and Amer, who were supplying him with Ice drugs and weapons from across the border using a drone.
Read less..."
Jan-2024,January - 4,"On January 4, Police in Budgam District of Jammu and Kashmir dismantled a module comprising seven individuals from the Beerwah area, reports Daily Excelsior. A police spokesman said that these individuals were involved in the dissemination of anti-na
Read more... On January 4, Police in Budgam District of Jammu and Kashmir dismantled a module comprising seven individuals from the Beerwah area, reports Daily Excelsior. A police spokesman said that these individuals were involved in the dissemination of anti-national propaganda by affixing posters in and around the Beerwah area. The arrested persons were identified as Romain Rasool Sheikh, Irfan Nazir Sheikh, Rizwan Nazir Sheikh and Sahil Javid Sheikh, all residents of Bonet Beerwah, Jahangir Bashir Mir, Tariq Ashraf Sheikh, both residents of Utligam Beerwah and Shakir Lateef Pathan, resident of Gandhipora and Beerwah. “The module was led by Romain Rasool Sheikh and Irfan Nazir Sheikh, who during investigation were found manipulated by a Lashkar-e-Toiba’s (LeT’s) Pakistani handler. It further emerged that the duo, acting as local motivators, instructed the other five individuals to carry out the assigned tasks. Incriminating evidence has been recovered from the apprehended persons. Investigation in the case is progressing,” spokesman added.
Read less..."
Jan-2024,January - 4,"On January 4, the National Investigation Agency (NIA) charge sheeted Manpreet Singh alias Peeta, a close aide of Khalistan Tiger Force (KTF) operative, Canada-based, Arshdeep Singh alias Arsh Dala, in the terror-gangster network case, reports Hindust
Read more... On January 4, the National Investigation Agency (NIA) charge sheeted Manpreet Singh alias Peeta, a close aide of Khalistan Tiger Force (KTF) operative, Canada-based, Arshdeep Singh alias Arsh Dala, in the terror-gangster network case, reports Hindustan Times. Manpreet Singh was arrested following his deportation from the Philippines. The chargesheet was filed against Peeta in the multi-state terrorist-gangster-drug smuggler network case registered in 2022 before the special NIA court in Delhi. This was the third chargesheet in the case, in which 21 accused have so far been chargesheeted. “Peeta was operating as a full-fledged crime-terror-extortion node from the Philippines as per the directions of Dala. He was actively involved in collection of weapons from the India-Pakistan border and making extortion calls to raise funds for Dala and the KTF,” an NIA spokesperson said. The central government had in February 2023 banned the KTF and declared it as a terrorist organisation.
Read less..."
Jan-2024,January - 4,"On January 4, the State Investigation Agency (SIA) attached properties of two people in Pulwama and Baramulla districts of Jammu and Kashmir in a narco-terror case, reports Daily Excelsior. The SIA executed the attachment orders issued by the Nationa
Read more... On January 4, the State Investigation Agency (SIA) attached properties of two people in Pulwama and Baramulla districts of Jammu and Kashmir in a narco-terror case, reports Daily Excelsior. The SIA executed the attachment orders issued by the National Investigation Agency (NIA) court, Srinagar, against Abdul Rashid Bhat, a resident of Larkipora in Pulwama District’s Awantipora, as he is absconding.
Read less..."
Jan-2024,January - 4,"The Delhi Police Special Cell arrested Javed Mattoo, a wanted terrorist associated with Hizb-ul-Mujahideen (HM), in Delhi on January 4, reports Hindustan Times. Mattoo was held after a team of the National Investigation Agency (NIA) had launched a se
Read more... The Delhi Police Special Cell arrested Javed Mattoo, a wanted terrorist associated with Hizb-ul-Mujahideen (HM), in Delhi on January 4, reports Hindustan Times. Mattoo was held after a team of the National Investigation Agency (NIA) had launched a search operation for him. According to the Police, they seized a pistol, magazine, and a stolen vehicle from Mattoo. “With the coordination of Special Cell of Delhi Police and central agencies, Javed Mattoo, an A++ category terrorist who has a bounty of ₹10 lakh on him, was arrested today…After taking him into police custody remand, we will further action against him,” Special Commissioner of Delhi Police HGS Dhaliwal said. Mattoo, a resident of Jammu and Kashmir's Sopore District, was involved in five grenade attacks in the union territory. He was also responsible for the killing of five police personnel in different incidents. According to the police, Mattoo is one of the last surviving A++ designated terrorists from Jammu and Kashmir.
Read less..."
Jan-2024,January - 4,"The Uttar Pradesh (UP) Anti-Terrorist Squad (ATS) has arrested a man, identified as Satyendra Siwal from Hapur District of UP working at the Indian Embassy in Moscow for suspectedly spying for Pakistan’s Inter-Service Intelligence (ISI), Hindustan Ti
Read more... The Uttar Pradesh (UP) Anti-Terrorist Squad (ATS) has arrested a man, identified as Satyendra Siwal from Hapur District of UP working at the Indian Embassy in Moscow for suspectedly spying for Pakistan’s Inter-Service Intelligence (ISI), Hindustan Times reports on January 4. The accused worked as a multi-tasking staffer at the Ministry of External Affairs (MEA) and has been currently posted as an India- based security assistant (IBSA) at the Indian Embassy in Moscow, Russia since 2021, officials said in a press note shared with the media. He was sharing crucial information with his ISI handlers, they said. The accused was booked under Indian Penal Code (IPC) Section 121-A for conspiring to attempt to wage war against the country and sections 3/5/9 of the Official Secrets Act,1923, officials said in the press note.
Read less..."
Jan-2024,January - 5,"A Hindu temple in California in the United States (US) was defaced with pro-Khalistani graffiti, reports India TV on January 5. The Hindu American Foundation (HAF) shared information about the vandalisation of California's Sherawali Temple in a socia
Read more... A Hindu temple in California in the United States (US) was defaced with pro-Khalistani graffiti, reports India TV on January 5. The Hindu American Foundation (HAF) shared information about the vandalisation of California's Sherawali Temple in a social media post on January 5 (today). A photo of the defacement was also shared by the HAF. On December 23, 2022, a Hindu temple was defaced with pro-Khalistani slogans in California's Newark city. The pictures were shared on X by the HAF, showing slogans scribbled on the walls of the Swaminarayan Mandir Vasana Sanstha.
Read less..."
Jan-2024,January - 5,"Islamic State (IS) threat is increasing with growing radicalisation in India and terror group’s entry into the war theatre in West Asia is dangerous for Indian youth, top intelligence sources stated on January 5, reports news18.com. India has a huge
Read more... Islamic State (IS) threat is increasing with growing radicalisation in India and terror group’s entry into the war theatre in West Asia is dangerous for Indian youth, top intelligence sources stated on January 5, reports news18.com. India has a huge number of IS sympathisers and the neighbourhood has seen many attacks by operatives linked to the group like in Afghanistan, Pakistan, Bangladesh, Sri Lanka, and the Maldives, they said, adding that such attacks are ongoing and continuous in these countries. “India also faces a strong ISIS threat but due to continuous interventions we have been able to avert these attacks so far,” said an unnamed official. “Though we have not seen major ISIS cadres in India, we can’t rule it out.” “But we have seen the Coimbatore attack by Jamesha Mubeen who was influenced by Sri Lanka ISIS attacker Zehran Hashim in 2019,” an official said. “He was not successful, but he could have killed 50 people easily. Mangaluru attempt by Shariq who wanted to create a blast through a pressure cooker to attack Kadri Temple could have also killed around 20 people.”
Read less..."
Jan-2024,January - 5,"On January 5, at least three Special Operations Group (SOG) jawans (personnel) were injured when an Improvised Explosive Device (IED), suspected to have been planted by the Communist Party of India (CPI-Maoist), exploded during a combing operation in
Read more... On January 5, at least three Special Operations Group (SOG) jawans (personnel) were injured when an Improvised Explosive Device (IED), suspected to have been planted by the Communist Party of India (CPI-Maoist), exploded during a combing operation in the Badepanga forests bordering Boudh-Kandhamal in the Boudh District of Odisha, reports The New Indian Express.
Read less..."
Jan-2024,January - 5,"On January 5, security agencies arrested a Pakistani spy, identified as Batti Lal Meena, from near the Railway Station in Jammu District of Jammu and Kashmir, reports Daily Excelsior. He was reportedly sending photographs and locations of vital inst
Read more... On January 5, security agencies arrested a Pakistani spy, identified as Batti Lal Meena, from near the Railway Station in Jammu District of Jammu and Kashmir, reports Daily Excelsior. He was reportedly sending photographs and locations of vital installations to Pakistan through his mobile telephone.
Read less..."
Jan-2024,January - 5,"One militant identified as Bilal Ahmed Bhat, affiliated with the Lashkar-e-Toiba (LeT) was killed in Chotigam area of Shopian District of Jammu and Kashmir on January 5, reports Daily Excelsior. A police spokesman said that acting on specific informa
Read more... One militant identified as Bilal Ahmed Bhat, affiliated with the Lashkar-e-Toiba (LeT) was killed in Chotigam area of Shopian District of Jammu and Kashmir on January 5, reports Daily Excelsior. A police spokesman said that acting on specific information regarding the presence of a militant in village Chotigam, a joint cordon and search operation was launched. The spokesman said that during the search operation, as the joint party approached towards the suspected spot, the hiding militant fired indiscriminately upon the joint search party, which was retaliated effectively, leading to an encounter. “In the ensuing encounter, one militant was killed and his body was retrieved from the site of the encounter”, he added. “As per police records, Bhat was involved in several attacks including killing of local Army personnel Umer Fayaz son of Fayaz Ahmad Parray, resident of Sudsan Kulgam and hurled grenade upon non-local labours in Hermain, resulting in on spot death of two labourers. He was also involved in killing of Kashmiri Pandit Sunil Kumar Bhat son of G Bhat and injuring other Kashmiri Pandit Pitamber Nath son of Arjun Nath Bhat, both residents of Chotigam Shopian. He was also involved in an attack on local Bal Krishan alias Sonu resident of Chotigam. Moreover, he was involved in instigating local youth to join militancy and induced 12 local youth into the militancy,” he added further.
Read less..."
Jan-2024,January - 6,"A former Communist Party of India-Maoist (CPI-Maoist) cadre, identified as Pujari Ramudu alias Bheemanna (59), was found brutally beaten to death near RS Pendakal railway station in Kurnool District of Andhra Pradesh on January 6, reports jantaserish
Read more... A former Communist Party of India-Maoist (CPI-Maoist) cadre, identified as Pujari Ramudu alias Bheemanna (59), was found brutally beaten to death near RS Pendakal railway station in Kurnool District of Andhra Pradesh on January 6, reports jantaserishta.com. Pujari, a resident of RS Pendakal village, is also known to be the brother of Yuvajana Sramika Rythu Congress Party (YSRC) women's wing president and Member of the Legislative Council (MLC) Pothula Sunita. He was associated with the Maoist gang for 30 years. He later surrendered before the police in 1991 and started leading a normal life. On January 6, some unknown people attacked Ramudu with stones, due to which he died. After the incident, the attackers fled from the spot.
Read less..."
Jan-2024,January - 6,"On January 6, a 25-year-old school teacher, identified as Ramlal Nureti, was arrested from Karekatta village under Madanwada Police Station limits in Mohla-Manpur-Ambagarh Chowki District of Chhattisgarh for allegedly being a Communist Party of India
Read more... On January 6, a 25-year-old school teacher, identified as Ramlal Nureti, was arrested from Karekatta village under Madanwada Police Station limits in Mohla-Manpur-Ambagarh Chowki District of Chhattisgarh for allegedly being a Communist Party of India-Maoist (CPI-Maoist) supporter, reports Devdiscourse. Angered by the arrest, a group of villagers, including schoolchildren, have launched a protest in front of Sitagaon Police Station, demanding his release. Ramlal was allegedly involved in putting up Maoist banners and posters in the area in September last year, the Police said. On September 15, 2023, the police recovered posters and banners from the Madanwada area, where Maoists appealed to observe the 19th anniversary of the outlawed movement, the Police added.
Read less..."
Jan-2024,January - 6,"On January 6, Border Security Force (BSF) personnel stationed at the border uncovered a dropping sound near the border fence in the proximity of village-Daoke in Amritsar District, reports Midday. Following a thorough search of the area, BSF troops
Read more... On January 6, Border Security Force (BSF) personnel stationed at the border uncovered a dropping sound near the border fence in the proximity of village-Daoke in Amritsar District, reports Midday. Following a thorough search of the area, BSF troops successfully recovered three packages suspected to contain Heroin (Gross weight - approximately 3.21 kilograms), securely wrapped with yellow adhesive tape and one Android mobile phone from a farming field, the BSF said.
Read less..."
Jan-2024,January - 6,"The Communist Party of India-Maoist (CPI-Maoist) cadres targeted a construction site and set ablaze at least three machines involved in soil cutting at Bariatu in Chandwa in the Latehar District of Jharkhand on January 6, reports The Avenue Mail. Kas
Read more... The Communist Party of India-Maoist (CPI-Maoist) cadres targeted a construction site and set ablaze at least three machines involved in soil cutting at Bariatu in Chandwa in the Latehar District of Jharkhand on January 6, reports The Avenue Mail. Kashyap Construction, responsible for the third railway line project in Bariatu, faced disruption as Poclain, JCB, and mixer machines were burned by the Maoists. Following the arson, at least seven rounds of firing were also reported, creating an atmosphere of fear and panic in the area.
Read less..."
Jan-2024,January - 6,"Vehicles engaged in bridge construction work on the Manak River in Kurumdari village in Simaria in Chatra District of Jharkhand were set on fire by cadres of the Communist Party of India-Maoist (CPI-Maoist) on January 6, reports The Avenue Mail.
Read more... Vehicles engaged in bridge construction work on the Manak River in Kurumdari village in Simaria in Chatra District of Jharkhand were set on fire by cadres of the Communist Party of India-Maoist (CPI-Maoist) on January 6, reports The Avenue Mail.
Read less..."
Jan-2024,January - 7,"Challenging the National Investigation Agency (NIA) team visiting United States (US), the Sikhs for Justice (SFJ), blocked the Indian Consulate in San Francisco, with a float depicting the assassination of the then Indian Prime Minister Indira Gandhi
Read more... Challenging the National Investigation Agency (NIA) team visiting United States (US), the Sikhs for Justice (SFJ), blocked the Indian Consulate in San Francisco, with a float depicting the assassination of the then Indian Prime Minister Indira Gandhi by Satwant Singh and Beant Singh, reports News 18 on January 7. Top intelligence sources said, “This is a money-making tactic used by Pannun [SFJ chief Gurpatwant Singh Pannun]. He is using handful activists and forcing them to face the law. Blocking any consulate is a serious issue and we will speak to our counterparts.” They said they would “speak to their counterparts"".
Read less..."
Jan-2024,January - 7,"Five cadres of the Tritiya Sammelan Prastuti Committee (TSPC), a splinter group of the Communist Party of India-Maoist (CPI-Maoist), were arrested from the Tandwa Police Station area in Chatra District of Jharkhand on January 7, reports latestly.com.
Read more... Five cadres of the Tritiya Sammelan Prastuti Committee (TSPC), a splinter group of the Communist Party of India-Maoist (CPI-Maoist), were arrested from the Tandwa Police Station area in Chatra District of Jharkhand on January 7, reports latestly.com. Superintendent of Police (SP) Rakesh Ranjan said a 'sub-zonal commander' identified as Adesh Kumar Ganjhu alias Prabhakar Ji, wanted in several cases of arson and extortion in the Tandwa coalfield area, was among the five arrestees. The other four were identified as Upendra Kumar Ganjhu alias Bhola, Laldev Kumar Ganjhu, Pintu Kumar Ganjhu and Rajesh Kumar Ganjhu. Arms and ammunition were also seized from them. Among these were a rifle, two pistols, 14 live cartridges, a knife, and pamphlets of the banned organisation, the SP said.
Read less..."
